,Start Timestamp,End Timestamp,Start Latitude,Start Longitude,End Latitude,End Longitude,Distance,Activity,Confidence
139,2022-06-21 01:10:52.839000+00:00,2022-06-21 01:21:41.203000+00:00,47..6746682,-117..3918932,47..7049265,-117..3985302,3822,IN_PASSENGER_VEHICLE,HIGH
140,2022-06-21 03:34:38.509000+00:00,2022-06-21 05:46:59.925000+00:00,47..7048907,-117..3985952,47..6751223,-117..3911746,41399,IN_PASSENGER_VEHICLE,HIGH
141,2022-06-21 16:34:02+00:00,2022-06-21 16:38:45.051000+00:00,47..6748102,-117..3913584,47..6752168,-117..4109950,1478,IN_PASSENGER_VEHICLE,HIGH
142,2022-06-21 16:50:12+00:00,2022-06-21 16:57:29.344000+00:00,47..6734134,-117..4110630,47..6668415,-117..4010773,1452,IN_PASSENGER_VEHICLE,HIGH
143,2022-06-21 22:57:18.004000+00:00,2022-06-21 23:10:36.213000+00:00,47..6665267,-117..4006128,47..6751695,-117..3912383,2304,IN_PASSENGER_VEHICLE,MEDIUM
144,2022-06-22 16:47:19.353000+00:00,2022-06-22 16:56:53+00:00,47..6749444,-117..3911548,47..6675012,-117..4009458,2092,IN_PASSENGER_VEHICLE,MEDIUM
145,2022-06-22 23:02:39.425000+00:00,2022-06-22 23:15:18.360000+00:00,47..6665289,-117..4006349,47..6757303,-117..3905691,1522,IN_PASSENGER_VEHICLE,MEDIUM
146,2022-06-23 16:41:00.671000+00:00,2022-06-23 16:51:03.515000+00:00,47..6751441,-117..3912041,47..6668292,-117..4011531,1465,IN_BUS,LOW
147,2022-06-23 23:06:24.983000+00:00,2022-06-23 23:21:22.638000+00:00,47..6666853,-117..4010050,47..6748569,-117..3925563,1625,IN_PASSENGER_VEHICLE,MEDIUM
148,2022-06-23 23:21:22.638000+00:00,2022-06-23 23:28:13.551000+00:00,47..6748569,-117..3925563,47..6748000,-117..3918448,651,WALKING,LOW
149,2022-06-24 16:49:02.775000+00:00,2022-06-24 16:57:15.917000+00:00,47..6747951,-117..3918808,47..6670680,-117..4008726,1677,IN_PASSENGER_VEHICLE,HIGH
150,2022-06-24 23:04:27.053000+00:00,2022-06-24 23:15:10.774000+00:00,47..6668535,-117..4014464,47..6723617,-117..3953389,1042,IN_PASSENGER_VEHICLE,HIGH
